epoch,loss,train_auc,train_spec,train_sens,val_auc,val_spec,val_sens
1,0.2480173556814118,0.7519088335382769,0.3262032085561497,0.39037433155080214,0.6327200443786982,0.10096153846153844,0.27884615384615385
2,0.23531815196786607,0.6652821070090653,0.196524064171123,0.23529411764705882,0.3905787721893491,0.10096153846153844,0.028846153846153848
3,0.23327354637403336,0.7317838657096286,0.29144385026737973,0.3716577540106952,0.45515902366863903,0.11057692307692313,0.0
4,0.22747905706129376,0.7067581286282135,0.3663101604278075,0.31283422459893045,0.6761279585798817,0.11538461538461542,0.3557692307692308
5,0.22171811913214032,0.685446395378764,0.35962566844919786,0.26737967914438504,0.6591623520710059,0.11538461538461542,0.3269230769230769
6,0.22555685752914065,0.723090451542795,0.3663101604278075,0.3181818181818182,0.45109097633136097,0.11538461538461542,0.009615384615384616
7,0.21927982568740845,0.685827089708027,0.31417112299465244,0.3048128342245989,0.6535225591715976,0.11057692307692313,0.3269230769230769
8,0.2196776901209165,0.7172531384940948,0.35026737967914434,0.3155080213903743,0.6709504437869822,0.11538461538461542,0.3557692307692308
9,0.21765725870454122,0.6782239269066889,0.30080213903743314,0.27807486631016043,0.6596246301775147,0.11538461538461542,0.34615384615384615
10,0.21570926845546753,0.7638104463953788,0.4024064171122995,0.4037433155080214,0.6595784023668639,0.11057692307692313,0.34615384615384615
11,0.21611134731580342,0.7203630358317367,0.38636363636363635,0.29411764705882354,0.4318602071005917,0.11057692307692313,0.028846153846153848
12,0.2139155220181223,0.7469329977980497,0.36764705882352944,0.37967914438502676,0.6521357248520709,0.11538461538461542,0.3269230769230769
13,0.21042974257753008,0.7596549801252537,0.46256684491978606,0.39572192513368987,0.6777459319526628,0.11057692307692313,0.3557692307692308
14,0.20244900149012368,0.7124882038376847,0.5,0.24064171122994651,0.6770987426035503,0.11057692307692313,0.33653846153846156
15,0.20782870148855542,0.7406989047442022,0.46657754010695185,0.2887700534759358,0.5465514053254438,0.11057692307692313,0.11538461538461539
16,0.20363901933980366,0.7058323086162029,0.44786096256684493,0.18983957219251338,0.5488627958579881,0.11057692307692313,0.14423076923076922
17,0.19593225667874017,0.7070083502530814,0.44919786096256686,0.24331550802139038,0.4699056952662721,0.10096153846153844,0.04807692307692308
18,0.20250737099420457,0.7752116160027452,0.482620320855615,0.3422459893048128,0.5123890532544378,0.10096153846153844,0.07692307692307693
19,0.19946464068359798,0.75410006005319,0.45320855614973266,0.3074866310160428,0.45284763313609466,0.11057692307692313,0.038461538461538464
20,0.19487361941072676,0.7675190883353828,0.5213903743315508,0.2887700534759358,0.4430935650887574,0.11538461538461542,0.038461538461538464
